name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
togglz,0328051636,SUCCESS,SUCCESS,186,133.52500000000006,447,99,0
togglz,0328042247,SUCCESS,SUCCESS,205,147.17399999999998,447,99,0
togglz,0328022208,SUCCESS,SUCCESS,206,147.17000000000002,447,99,0
twilio-java,0328051636,SUCCESS,SUCCESS,150,904.5080000000002,2439,358,0
twilio-java,0328042247,SUCCESS,SUCCESS,159,954.9469999999997,2439,358,0
twilio-java,0328022208,SUCCESS,SUCCESS,155,940.2820000000003,2439,358,0
rultor,0326233423,SUCCESS,FAILURE,33.1,64.89600000000002,142,66,3
rultor,0326214106,SUCCESS,FAILURE,33.57,71.597,142,66,3
rultor,0326193008,SUCCESS,FAILURE,41.201,77.404,142,66,3
optaplanner,0328051636,SUCCESS,SUCCESS,438,661.2729999999988,2406,392,0
optaplanner,0328042247,SUCCESS,SUCCESS,465,699.7429999999997,2406,392,0
optaplanner,0328022208,SUCCESS,SUCCESS,459,689.4809999999993,2406,392,0
flink,0326233423,SUCCESS,FAILURE,185,161.81099999999995,3349,300,2
flink,0326214106,SUCCESS,FAILURE,201,192.61399999999972,3349,300,2
flink,0326193008,SUCCESS,FAILURE,229,202.87199999999984,3349,300,2
californium,0326233423,SUCCESS,FAILURE,68,63.145,27,5,3
californium,0326214106,SUCCESS,FAILURE,68,63.21099999999999,27,5,3
californium,0326193008,SUCCESS,FAILURE,71,63.718,27,5,3
takes,0326233423,SUCCESS,SUCCESS,45.295,60.82700000000003,420,149,0
takes,0326214106,SUCCESS,SUCCESS,44.205,58.77900000000001,420,149,0
takes,0326193008,SUCCESS,SUCCESS,47.145,59.47399999999999,420,149,0
chaos-http-proxy,0326233423,SUCCESS,SUCCESS,97,87.827,21,3,0
chaos-http-proxy,0326214106,SUCCESS,SUCCESS,98,87.988,21,3,0
chaos-http-proxy,0326193008,SUCCESS,SUCCESS,88,74.149,21,3,0
vavr,0326233423,SUCCESS,SUCCESS,281,454.11899999999997,15568,139,0
vavr,0326214106,SUCCESS,SUCCESS,243,353.117,15568,139,0
vavr,0326193008,SUCCESS,SUCCESS,235,343.42299999999994,15568,139,0
opennlp,0326233423,SUCCESS,SUCCESS,125,172.87999999999997,576,135,0
opennlp,0326214106,SUCCESS,SUCCESS,112,158.06500000000005,576,135,0
opennlp,0326193008,SUCCESS,SUCCESS,119,161.52,576,135,0
search-guard,0328051636,SUCCESS,SUCCESS,317,856.7909999999999,88,15,0
search-guard,0328042247,SUCCESS,SUCCESS,340,921.3820000000002,88,15,0
search-guard,0328022208,SUCCESS,SUCCESS,339,920.3689999999999,88,15,0
logging-log4j2,0326233423,SUCCESS,FAILURE,771,390.2150000000001,2505,418,2
logging-log4j2,0326214106,SUCCESS,FAILURE,757,382.6159999999996,2505,418,2
logging-log4j2,0326193008,SUCCESS,FAILURE,946,494.92900000000037,2505,418,3
oozie,0328051636,SUCCESS,FAILURE,274,5.104999999999996,818,80,0
oozie,0328042247,SUCCESS,FAILURE,264,4.421999999999997,818,80,0
oozie,0328022208,SUCCESS,FAILURE,4080,4018.3359999999975,2970,425,1
cache2k,0328051636,SUCCESS,SUCCESS,151,203.9219999999999,5119,100,0
cache2k,0328042247,SUCCESS,SUCCESS,135,219.839,5119,100,0
cache2k,0328022208,SUCCESS,SUCCESS,134,213.56800000000004,5119,100,0
avro,0328051636,SUCCESS,SUCCESS,420,195.75399999999996,3768,184,0
avro,0328042247,SUCCESS,SUCCESS,414,192.26900000000006,3768,184,0
avro,0328022208,SUCCESS,SUCCESS,439,204.9759999999999,3768,184,0
jcabi-github,0326233423,SUCCESS,SUCCESS,65,155.67600000000004,643,159,0
jcabi-github,0326214106,SUCCESS,SUCCESS,74,153.76700000000002,643,159,0
jcabi-github,0326193008,SUCCESS,SUCCESS,86,223.0259999999999,643,159,0
mapdb,0326233423,SUCCESS,SUCCESS,639,495.41100000000006,3697,178,0
mapdb,0326214106,SUCCESS,SUCCESS,612,475.68899999999996,3697,178,0
mapdb,0326193008,SUCCESS,SUCCESS,623,485.207,3697,178,0
hazelcast-jet,0326233423,FAILURE,SUCCESS,617,824.7629999999999,1531,117,0
hazelcast-jet,0326214106,FAILURE,SUCCESS,728,1023.5290000000002,1531,117,0
hazelcast-jet,0326193008,FAILURE,SUCCESS,1069,1536.1320000000005,1531,117,0
leshan,0328051636,SUCCESS,FAILURE,68,111.83900000000003,310,43,2
leshan,0328042247,SUCCESS,SUCCESS,57.419,86.068,310,43,0
leshan,0328022208,SUCCESS,SUCCESS,58.01,86.57400000000003,310,43,0
javaslang,0326233423,FAILURE,FAILURE,25.467,0,0,0,0
javaslang,0326214106,FAILURE,FAILURE,26.267,0,0,0,0
javaslang,0326193008,FAILURE,FAILURE,35.677,0,0,0,0
javaparser,0328051636,SUCCESS,SUCCESS,334,289.901,2375,218,0
javaparser,0328042247,SUCCESS,SUCCESS,334,289.66600000000005,2375,218,0
javaparser,0328022208,SUCCESS,SUCCESS,323,281.74299999999994,2375,218,0
mahout,0326233423,SUCCESS,SUCCESS,1708,1802.8049999999994,3375,343,0
mahout,0326214106,SUCCESS,SUCCESS,1686,1805.7759999999992,3375,343,0
mahout,0326193008,SUCCESS,SUCCESS,1813,1933.9219999999991,3375,343,0
zxing,0328051636,SUCCESS,SUCCESS,141,174.77199999999988,458,140,0
zxing,0328042247,SUCCESS,SUCCESS,147,178.8179999999999,458,140,0
zxing,0328022208,SUCCESS,SUCCESS,148,183.01099999999997,458,140,0
